,url
111,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1038507&classe=ARE-RG
112,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1029608&classe=RE-RG
113,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1052277&classe=RE-RG
114,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1038925&classe=RE-RG
115,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=936790&classe=RE-RG
116,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1048686&classe=ARE-RG
117,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1050346&classe=RE-RG
118,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1041816&classe=RE-RG
119,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=979742&classe=RE-RG
120,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=859376&classe=RE-RG
121,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1023750&classe=RE-RG
122,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=632115&classe=RE-RG
123,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=&classe=
124,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=883542&classe=RE-RG
125,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1034840&classe=RE-RG
126,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=944250&classe=RE-RG
127,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=985392&classe=RE-RG
128,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1023434&classe=RE-RG
129,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=954858&classe=ARE-RG
130,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1037926&classe=RE-RG
131,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1029723&classe=RE-RG
132,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1014286&classe=RE-RG
133,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=972598&classe=RE-RG
134,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1027633&classe=RE-RG
135,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=986296&classe=RE-RG
136,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=609517&classe=RE-RG
137,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1013583&classe=RE-RG
138,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=999425&classe=ARE-RG
139,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1018459&classe=ARE-RG
140,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=835291&classe=RE-RG
141,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=875958&classe=ARE-RG
142,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=828040&classe=RE-RG
143,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=944245&classe=RE-RG
144,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=937595&classe=RE-RG
145,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=983765&classe=RE-RG
146,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1001075&classe=ARE-RG
147,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=995539&classe=ARE-RG
148,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=964246&classe=ARE-RG
149,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=805681&classe=RE-RG
150,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=966177&classe=RE-RG
151,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=820823&classe=RE-RG
152,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=959870&classe=RE-RG
153,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=776594&classe=RE-RG
154,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=848993&classe=ARE-RG
155,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=940769&classe=RE-RG
156,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=828075&classe=RE-RG
157,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=878911&classe=ARE-RG
158,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=765320&classe=RE-RG
159,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=928943&classe=RE-RG
160,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=909437&classe=ARE-RG
161,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=905149&classe=ARE-RG
162,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=957842&classe=ARE-RG
163,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=968574&classe=ARE-RG
164,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=979764&classe=ARE-RG
165,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=959489&classe=RE-RG
166,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=892238&classe=RE-RG
167,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=971959&classe=RE-RG
168,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=946648&classe=RE-RG
169,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=973837&classe=RE-RG
170,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=847429&classe=RE-RG
171,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=965627&classe=ARE-RG
172,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=970082&classe=ARE-RG
173,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=956304&classe=RE-RG
174,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=964659&classe=RE-RG
175,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=636886&classe=RE-RG
176,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=852475&classe=RE-RG
177,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=940225&classe=ARE-RG
178,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=963889&classe=ARE-RG
179,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=956302&classe=RE-RG
180,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=864188&classe=AI-RG
181,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=848353&classe=RE-RG
182,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=957650&classe=ARE-RG
183,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=913264&classe=ARE-RG
184,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=955564&classe=ARE-RG
185,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=950787&classe=ARE-RG
186,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=954408&classe=ARE-RG
187,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=844252&classe=RE-RG
188,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=953478&classe=ARE-RG
189,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=893458&classe=RE-RG
190,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=928902&classe=RE-RG
191,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=955227&classe=RE-RG
192,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=949297&classe=RE-RG
193,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=948645&classe=ARE-RG
194,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=938837&classe=RE-RG
195,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=945271&classe=ARE-RG
196,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=864264&classe=RE-RG
197,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=928167&classe=ARE-RG
198,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=938891&classe=ARE-RG
199,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=915880&classe=ARE-RG
200,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=925754&classe=ARE-RG
201,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=917285&classe=RE-RG
202,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=606010&classe=RE-RG
203,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=907777&classe=ARE-RG
204,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=927467&classe=ARE-RG
205,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=921694&classe=ARE-RG
